order_id,pickup_node,pickup_x_m,pickup_y_m,delivery_node,delivery_x_m,delivery_y_m,order_type,weight_kg,volume_l,order_time_min,order_time_hhmm,ready_time_min,ready_time_hhmm,earliest_start_min,service_deadline_s,latest_finish_min,latest_finish_hhmm,S_j_h,a_j_h,b_j_h,priority,splittable,source_type,source_note
OD120_110,RESTAURANT_X,720,715,DORM_W,267,768,外卖,0.93,1.9,626,18:26,632,18:32,632,1320,654,18:54,10.5333,10.5333,10.9000,normal,0,scenario_simulation,Generated SYSU Shenzhen daily takeout demand with lunch and dinner peaks
OD120_111,CANTEEN_E,1125,920,DORM_E,1240,1080,外卖,0.69,2.1,628,18:28,634,18:34,634,1320,656,18:56,10.5667,10.5667,10.9333,normal,0,scenario_simulation,Generated SYSU Shenzhen daily takeout demand with lunch and dinner peaks
OD120_112,GATE_S,800,160,DORM_E,1240,1080,外卖,0.93,2.4,646,18:46,656,18:56,656,1200,676,19:16,10.9333,10.9333,11.2667,normal,0,scenario_simulation,Generated SYSU Shenzhen daily takeout demand with lunch and dinner peaks
OD120_113,GATE_S,800,160,DORM_W,267,768,外卖,0.88,2.4,671,19:11,679,19:19,679,1500,704,19:44,11.3167,11.3167,11.7333,normal,0,scenario_simulation,Generated SYSU Shenzhen daily takeout demand with lunch and dinner peaks
OD120_114,CANTEEN_W,525,520,DORM_E,1240,1080,外卖,0.64,1.9,713,19:53,722,20:02,722,1320,744,20:24,12.0333,12.0333,12.4000,normal,0,scenario_simulation,Generated SYSU Shenzhen daily takeout demand with lunch and dinner peaks
OD120_115,CANTEEN_W,525,520,DORM_E,1240,1080,外卖,1.13,3.4,714,19:54,723,20:03,723,1500,748,20:28,12.0500,12.0500,12.4667,normal,0,scenario_simulation,Generated SYSU Shenzhen daily takeout demand with lunch and dinner peaks
OD120_116,RESTAURANT_X,720,715,DORM_E,1240,1080,外卖,0.84,2.2,744,20:24,749,20:29,749,1200,769,20:49,12.4833,12.4833,12.8167,normal,0,scenario_simulation,Generated SYSU Shenzhen daily takeout demand with lunch and dinner peaks
OD120_117,CANTEEN_W,525,520,DORM_W,267,768,外卖,0.66,1.7,747,20:27,754,20:34,754,1320,776,20:56,12.5667,12.5667,12.9333,normal,0,scenario_simulation,Generated SYSU Shenzhen daily takeout demand with lunch and dinner peaks
OD120_118,RESTAURANT_X,720,715,LIB,640,865,外卖,0.57,1.6,761,20:41,767,20:47,767,1320,789,21:09,12.7833,12.7833,13.1500,normal,0,scenario_simulation,Generated SYSU Shenzhen daily takeout demand with lunch and dinner peaks
OD120_119,CANTEEN_W,525,520,LIB,640,865,外卖,0.74,1.7,765,20:45,774,20:54,774,1320,796,21:16,12.9000,12.9000,13.2667,normal,0,scenario_simulation,Generated SYSU Shenzhen daily takeout demand with lunch and dinner peaks
OD120_120,CANTEEN_W,525,520,DORM_E,1240,1080,外卖,0.81,2.5,770,20:50,778,20:58,778,1080,796,21:16,12.9667,12.9667,13.2667,normal,0,scenario_simulation,Generated SYSU Shenzhen daily takeout demand with lunch and dinner peaks
